DATE,GNPA
1929-01-01,105.322
1930-01-01,92.869
1931-01-01,77.906
1932-01-01,59.886
1933-01-01,57.454
1934-01-01,67.079
1935-01-01,74.582
1936-01-01,85.092
1937-01-01,93.372
1938-01-01,87.731
1939-01-01,93.81
1940-01-01,103.179
1941-01-01,129.725
1942-01-01,166.363
1943-01-01,203.415
1944-01-01,224.771
1945-01-01,228.272
1946-01-01,228.187
1947-01-01,250.726
1948-01-01,275.924
1949-01-01,273.755
1950-01-01,301.267
1951-01-01,348.806
1952-01-01,369.326
1953-01-01,391.117
1954-01-01,392.644
1955-01-01,427.927
1956-01-01,452.149
1957-01-01,477.093
1958-01-01,483.858
1959-01-01,524.415
1960-01-01,545.495
1961-01-01,565.728
1962-01-01,608.015
1963-01-01,641.927
1964-01-01,689.38
1965-01-01,747.568
1966-01-01,818.484
1967-01-01,865.352
1968-01-01,946.736
1969-01-01,1023.73
1970-01-01,1079.696
1971-01-01,1172.445
1972-01-01,1287.668
1973-01-01,1437.995
1974-01-01,1560.763
1975-01-01,1697.908
1976-01-01,1890.259
1977-01-01,2102.118
1978-01-01,2373.18
1979-01-01,2659.264
1980-01-01,2891.492
1981-01-01,3239.976
1982-01-01,3380.299
1983-01-01,3671.123
1984-01-01,4073.903
1985-01-01,4364.344
1986-01-01,4596.588
1987-01-01,4872.702
1988-01-01,5259.095
1989-01-01,5666.369
1990-01-01,5997.836
1991-01-01,6189.716
1992-01-01,6551.404
1993-01-01,6889.717
1994-01-01,7310.202
1995-01-01,7667.701
1996-01-01,8103.991
1997-01-01,8600.853
1998-01-01,9080.228
1999-01-01,9656.198
2000-01-01,10287.371
2001-01-01,10630.572
2002-01-01,10981.662
2003-01-01,11516.606
2004-01-01,12291.915
2005-01-01,13114.592
2006-01-01,13865.059
2007-01-01,14560.884
2008-01-01,14867.453
2009-01-01,14590.87
2010-01-01,15187.772
2011-01-01,15778.96
2012-01-01,16429.308
2013-01-01,17015.583
2014-01-01,17768.321
2015-01-01,18458.685
2016-01-01,18977.128
2017-01-01,19835.281
2018-01-01,20896.571
2019-01-01,21702.853
